,id,comment,sentiment
0,UgzH8vliQSJKHQMGZjx4AaABAg.9V8_MXpsbSv9rXdq1hhE-D,​@Shrekплумцьд🎉,Neutral
1,UgzH8vliQSJKHQMGZjx4AaABAg.9V8_MXpsbSv9psQa9Jq3Xj,Alright!🎉,Neutral
2,UgzH8vliQSJKHQMGZjx4AaABAg.9V8_MXpsbSv9nrnrPsTSQP,You are doing great 😊,Positive
3,UgzH8vliQSJKHQMGZjx4AaABAg.9V8_MXpsbSv9nGvPmfGu4H,Кут,Neutral
4,UgzH8vliQSJKHQMGZjx4AaABAg.9V8_MXpsbSv9n8jnLJ9TO2,Sigma,Neutral
5,Ugy8ZUuUvJ-yFA-vQtV4AaABAg,МАСТУРБИСТ?,Neutral
6,Ugw_7q8nS7aFYVat8eN4AaABAg,Hello mr beant y love you vodeos,Positive
7,UgySNOhG1T8WA-g5yEp4AaABAg,When season 2 comes out can you makes  another squid game,Negative
8,Ugw7G5V8Ue233oyFSj14AaABAg,Que pasa si uno de ellos en el 6t juegos se caen por un lado?,Neutral
9,UgxAFFkq-y0oybSuIpV4AaABAg,Trop cool,Positive
10,Ugy9AE0NECLY2B4KrX14AaABAg,สุดยอด,Neutral
11,UgzXcorG4YwpIvSeDXR4AaABAg,Amo tus videos me mr best,Positive
12,UgwN7a9gMKIuIzfjG_h4AaABAg,Flamingo is in this right,Positive
13,UgxsG0VkC7pi3Zx0wvp4AaABAg,Dum ways to die,Neutral
14,UgwX5pO31NO_1-uQCbJ4AaABAg,🎉🎉 WOW NÓ GDPA,Positive
15,UgyoJ2g2kWTQ2mu_z694AaABAg,이건 다시봐도 지린다고,Neutral
16,UgzBb-0t7g3bwK1YpWR4AaABAg,Messages,Neutral
17,UgzIYvFKqk3FUiX1IIx4AaABAg,"Круто 
Респект",Neutral
18,Ugx1PppS9-g3Zoc17914AaABAg,Yk 067 actually has an OF if you look up Jackdoherty it's proof,Neutral
19,UgwE7PXEyauvG17V7rJ4AaABAg,Night fox!!!,Neutral
20,UgxMC63O52ZwkC5vpkx4AaABAg,368...... Somebody's dad listened  3-6Mafia,Neutral
21,UgwJs6WMEbXKC6rFIhl4AaABAg,Es la pizza que gane que gane que gane el,Neutral
22,UgyEO5jXYiPPqG-MbhJ4AaABAg,This man needs a TV Show,Neutral
23,UgztCxO3SBRe0mYOODZ4AaABAg.9sGcKc0Id_Q9sGmS4lZ_0Y,Me,Neutral
24,UgztCxO3SBRe0mYOODZ4AaABAg.9sGcKc0Id_Q9sGk4n6jQJj,Me,Neutral
25,UgxapgS85JtlMK1iUux4AaABAg,067 is my fav,Neutral
26,Ugyv8Uh1RvX8vDZSclx4AaABAg,"The doll
Created Mathew Beem",Neutral
27,Ugzr0geCKgzkuGCGt-h4AaABAg.9sGXK1Lxw0K9sGrBcLYbaD,@Чипс Картофельный в бравл можно и в России играть,Neutral
28,Ugzr0geCKgzkuGCGt-h4AaABAg.9sGXK1Lxw0K9sGqbNWMLkQ,"Так это в россии, не страшно",Neutral
29,Ugzr0geCKgzkuGCGt-h4AaABAg.9sGXK1Lxw0K9sGlOqxFM3i,и что? в него все еще можно играть,Neutral
30,Ugw8h9vywdGIdNPrKHJ4AaABAg,Your the best,Positive
31,UgwE6XWBfITx9R0pb1x4AaABAg,Impactada quede nunca había visto q alguien se inspirara en un juego muy realista y detalladamente 😰😱😱 sigue asiiii🎉,Neutral
32,UgwC2sK7TXg3BRzTqyF4AaABAg,Keren,Neutral
33,Ugy864tS0fAUxNjmoaN4AaABAg,와우,Neutral
34,UgyTUYP0qilDKBpVXjV4AaABAg,462 MİLYON izlenme çılgınca,Neutral
35,UgyROhD7Uz7c0GZ2lR14AaABAg,น่าดูมากเลยสนุกไม่เบื่อเลย,Neutral
36,UgxrYFjfq0wh7WOw99t4AaABAg,that glass bridge place looks dangeorus,Neutral
37,UgwGjPBNhp8JKl7h-Bh4AaABAg,jimmy literally said 9/11,Neutral
38,Ugyx11t_360LTRN5Lhx4AaABAg,Abi ben Kara aşık oldum,Neutral
39,Ugxb4HjahqGH8xLDHA94AaABAg,"7,000",Neutral
40,Ugxd8YsPbvAcc0FbLPt4AaABAg,December 2021 🥹,Neutral
41,Ugz67KeT3yCiCvA_QIZ4AaABAg,Ben oynuyor,Neutral
42,UgyrbIbVEwnhfvgiHkF4AaABAg,"Давайте представим что тут написано что-то умное, и вы поставите на это лайк чисто по приколу",Neutral
43,UgzJf6Osa9LjA0E8AX54AaABAg,У меня 42 боица в бравл старс5,Neutral
44,UgxjZDh3ZV-P0R20_7B4AaABAg,Fantastic,Positive
45,Ugx1ey_9ke6mO5aqh0p4AaABAg,Mr beast aku butuh uang,Neutral
